순번,순위,순위증감,신규진입,영화코드,영화명,개봉일,당일매출액,매출비율,매출증감,매출변화율,누적매출액,당일관객수,관객증감,관객변화율,누적관객수,상영관수,상영횟수,날짜,년월
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,2982893860,66.4,1058170010,55.0,58680307620,289260,98093,51.3,5850200,2160,7348,20220101,2022-01
2,2,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,870687210,19.4,325566550,59.7,7024704470,84055,29729,54.7,706516,903,2432,20220101,2022-01
3,3,0,OLD,20217807,해피 뉴 이어,2021-12-29,427612620,9.5,26118100,6.5,1439065990,42418,878,2.1,156464,771,2125,20220101,2022-01
4,4,0,OLD,20211281,매트릭스: 리저렉션,2021-12-22,63560380,1.4,1694990,2.7,1986593010,6405,-53,-0.8,197685,379,483,20220101,2022-01
5,5,0,OLD,20210864,엔칸토: 마법의 세계,2021-11-24,33718000,0.8,12321920,57.6,5916470180,3572,1124,45.9,623667,160,212,20220101,2022-01
6,6,2,OLD,20211768,신데렐라 2: 마법에 걸린 왕자,2021-12-22,29617060,0.7,12320710,71.2,289559610,3179,1257,65.4,33031,189,241,20220101,2022-01
7,7,-1,OLD,20218415,드라이브 마이 카,2021-12-23,22054940,0.5,2135920,10.7,186917040,2209,86,4.1,20552,88,104,20220101,2022-01
8,8,-1,OLD,20218390,램,2021-12-29,16416490,0.4,-2339390,-12.5,77255280,1632,-379,-18.8,8962,118,138,20220101,2022-01
9,9,1,OLD,20205986,연애 빠진 로맨스,2021-11-24,8848350,0.2,-2655000,-23.1,6129309350,861,-424,-33.0,603876,106,110,20220101,2022-01
10,10,1,OLD,20212077,노웨어 스페셜,2021-12-29,7677350,0.2,-511300,-6.2,34034340,830,-106,-11.3,4036,58,67,20220101,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,2318341070,65.7,-664552790,-22.3,60998648690,225436,-63824,-22.1,6075636,2162,7349,20220102,2022-01
2,2,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,722274350,20.5,-148412860,-17.0,7746978820,70273,-13782,-16.4,776789,913,2456,20220102,2022-01
3,3,0,OLD,20217807,해피 뉴 이어,2021-12-29,297838110,8.4,-129774510,-30.3,1736904100,29749,-12669,-29.9,186213,764,2014,20220102,2022-01
4,4,0,OLD,20211281,매트릭스: 리저렉션,2021-12-22,50942030,1.4,-12618350,-19.9,2037535040,5237,-1168,-18.2,202922,377,484,20220102,2022-01
5,5,0,OLD,20210864,엔칸토: 마법의 세계,2021-11-24,27983310,0.8,-5734690,-17.0,5944453490,2967,-605,-16.9,626634,159,208,20220102,2022-01
6,6,0,OLD,20211768,신데렐라 2: 마법에 걸린 왕자,2021-12-22,25281810,0.7,-4335250,-14.6,314841420,2718,-461,-14.5,35749,190,239,20220102,2022-01
7,7,0,OLD,20218415,드라이브 마이 카,2021-12-23,21232110,0.6,-822830,-3.7,208149150,2038,-171,-7.7,22590,92,111,20220102,2022-01
8,8,0,OLD,20218390,램,2021-12-29,16918910,0.5,502420,3.1,94174190,1563,-69,-4.2,10525,112,132,20220102,2022-01
9,9,0,OLD,20205986,연애 빠진 로맨스,2021-11-24,8018870,0.2,-829480,-9.4,6137328220,798,-63,-7.3,604674,107,111,20220102,2022-01
10,10,0,OLD,20212077,노웨어 스페셜,2021-12-29,5549010,0.2,-2128340,-27.7,39583350,571,-259,-31.2,4607,55,63,20220102,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,668322720,62.5,-1650018350,-71.2,61666971410,66829,-158607,-70.4,6142465,1988,6846,20220103,2022-01
2,2,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,232132460,21.7,-490141890,-67.9,7979111280,23761,-46512,-66.2,800550,863,2462,20220103,2022-01
3,3,0,OLD,20217807,해피 뉴 이어,2021-12-29,96467670,9.0,-201370440,-67.6,1833371770,10181,-19568,-65.8,196394,665,1776,20220103,2022-01
4,4,0,OLD,20211281,매트릭스: 리저렉션,2021-12-22,16642200,1.6,-34299830,-67.3,2054177240,1843,-3394,-64.8,204765,295,393,20220103,2022-01
5,5,2,OLD,20218415,드라이브 마이 카,2021-12-23,9918610,0.9,-11313500,-53.3,218067760,1105,-933,-45.8,23695,86,107,20220103,2022-01
6,6,0,OLD,20211768,신데렐라 2: 마법에 걸린 왕자,2021-12-22,8823800,0.8,-16458010,-65.1,323665220,1022,-1696,-62.4,36771,115,140,20220103,2022-01
7,7,-2,OLD,20210864,엔칸토: 마법의 세계,2021-11-24,8059540,0.8,-19923770,-71.2,5952513030,897,-2070,-69.8,627531,98,132,20220103,2022-01
8,8,0,OLD,20218390,램,2021-12-29,4984880,0.5,-11934030,-70.5,99159070,533,-1030,-65.9,11058,88,110,20220103,2022-01
9,9,0,NEW,20202433,괴짜들의 로맨스,2021-11-17,706000,0.1,706000,100.0,52382890,350,350,100.0,8101,2,2,20220103,2022-01
10,10,0,NEW,20218764,씽2게더,2022-01-05,2403000,0.2,2403000,100.0,5021000,267,267,100.0,557,2,2,20220103,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,598472110,60.2,-69850610,-10.5,62265443520,59963,-6866,-10.3,6202428,1994,6722,20220104,2022-01
2,2,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,205900820,20.7,-26231640,-11.3,8185012100,21135,-2626,-11.1,821685,878,2409,20220104,2022-01
3,3,0,OLD,20217807,해피 뉴 이어,2021-12-29,101474160,10.2,5006490,5.2,1934845930,10987,806,7.9,207381,670,1753,20220104,2022-01
4,4,0,OLD,20211281,매트릭스: 리저렉션,2021-12-22,15321440,1.5,-1320760,-7.9,2069498680,1629,-214,-11.6,206394,293,394,20220104,2022-01
5,5,1,OLD,20211768,신데렐라 2: 마법에 걸린 왕자,2021-12-22,9949000,1.0,1125200,12.8,333614220,1176,154,15.1,37947,119,150,20220104,2022-01
6,6,-1,OLD,20218415,드라이브 마이 카,2021-12-23,10875900,1.1,957290,9.7,228943660,1169,64,5.8,24864,83,109,20220104,2022-01
7,7,0,OLD,20210864,엔칸토: 마법의 세계,2021-11-24,9470050,1.0,1410510,17.5,5961983080,1056,159,17.7,628587,104,142,20220104,2022-01
8,8,0,OLD,20218390,램,2021-12-29,7200170,0.7,2215290,44.4,106359240,810,277,52.0,11868,93,111,20220104,2022-01
9,9,0,NEW,20193082,웨스트 사이드 스토리,2022-01-12,6240000,0.6,6240000,100.0,12795000,416,416,100.0,853,1,1,20220104,2022-01
10,10,-1,OLD,20202433,괴짜들의 로맨스,2021-11-17,704000,0.1,-2000,-0.3,53086890,349,-1,-0.3,8450,2,2,20220104,2022-01
1,1,0,NEW,20199882,경관의 피,2022-01-05,584559330,34.2,584559330,100.0,631402330,64050,64050,100.0,69228,1171,4416,20220105,2022-01
2,2,-1,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,507028380,29.6,-91443730,-15.3,62772471900,50399,-9564,-15.9,6252827,1357,4314,20220105,2022-01
3,3,0,NEW,20218764,씽2게더,2022-01-05,379941010,22.2,379941010,100.0,384962010,44221,44221,100.0,44778,999,3156,20220105,2022-01
4,4,-2,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,140823730,8.2,-65077090,-31.6,8325835830,13916,-7219,-34.2,835601,657,1481,20220105,2022-01
5,5,-2,OLD,20217807,해피 뉴 이어,2021-12-29,38850000,2.3,-62624160,-61.7,1973695930,4152,-6835,-62.2,211533,414,643,20220105,2022-01
6,6,6,OLD,20192354,특송,2022-01-12,13378000,0.8,10760000,411.0,30157000,1213,923,318.3,2984,4,4,20220105,2022-01
7,7,-1,OLD,20218415,드라이브 마이 카,2021-12-23,9238520,0.5,-1637380,-15.1,238182180,1013,-156,-13.3,25877,74,99,20220105,2022-01
8,8,14,OLD,20210672,피드백,2022-01-05,4896500,0.3,4666500,2028.9,8078500,748,637,573.9,1187,32,41,20220105,2022-01
9,9,-1,OLD,20218390,램,2021-12-29,3244700,0.2,-3955470,-54.9,109603940,329,-481,-59.4,12197,44,49,20220105,2022-01
10,10,-3,OLD,20210864,엔칸토: 마법의 세계,2021-11-24,2290000,0.1,-7180050,-75.8,5964273080,291,-765,-72.4,628878,23,24,20220105,2022-01
1,1,1,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,476462140,33.1,-30566240,-6.0,63248934040,47165,-3234,-6.4,6299992,1350,4256,20220106,2022-01
2,2,-1,OLD,20199882,경관의 피,2022-01-05,419993620,29.2,-164565710,-28.2,1051395950,45201,-18849,-29.4,114429,1161,4291,20220106,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,289993880,20.2,-89947130,-23.7,674955890,33707,-10514,-23.8,78485,1011,3113,20220106,2022-01
4,4,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,134541550,9.4,-6282180,-4.5,8460377380,13327,-589,-4.2,848928,655,1455,20220106,2022-01
5,5,0,OLD,20217807,해피 뉴 이어,2021-12-29,35939470,2.5,-2910530,-7.5,2009635400,3803,-349,-8.4,215336,398,606,20220106,2022-01
6,6,1,OLD,20218415,드라이브 마이 카,2021-12-23,13226000,0.9,3987480,43.2,251408180,1445,432,42.6,27322,70,92,20220106,2022-01
7,7,-1,OLD,20192354,특송,2022-01-12,12360000,0.9,-1018000,-7.6,42517000,1000,-213,-17.6,3984,6,6,20220106,2022-01
8,8,13,OLD,20211831,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,2021-12-09,7323200,0.5,6237600,574.6,364020700,769,662,618.7,33925,23,39,20220106,2022-01
9,9,0,NEW,19838068,해탄적일천,2022-01-06,6932370,0.5,6932370,100.0,6932370,759,759,100.0,759,44,55,20220106,2022-01
10,10,-2,OLD,20210672,피드백,2022-01-05,4968000,0.3,71500,1.5,13046500,753,5,0.7,1940,38,48,20220106,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,598141550,36.9,121679410,25.5,63847075590,56237,9072,19.2,6356229,1359,4332,20220107,2022-01
2,2,0,OLD,20199882,경관의 피,2022-01-05,455513390,28.1,35519770,8.5,1506909340,45803,602,1.3,160232,1150,4336,20220107,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,315100080,19.4,25106200,8.7,990055970,34071,364,1.1,112556,1049,3220,20220107,2022-01
4,4,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,157685170,9.7,23143620,17.2,8618062550,14932,1605,12.0,863860,646,1432,20220107,2022-01
5,5,0,OLD,20217807,해피 뉴 이어,2021-12-29,31249840,1.9,-4689630,-13.0,2040885240,3074,-729,-19.2,218410,368,542,20220107,2022-01
6,6,0,OLD,20218415,드라이브 마이 카,2021-12-23,11505300,0.7,-1720700,-13.0,262913480,1134,-311,-21.5,28456,71,97,20220107,2022-01
7,7,0,OLD,20192354,특송,2022-01-12,10000000,0.6,-2360000,-19.1,52517000,1000,0,0.0,4984,4,4,20220107,2022-01
8,8,1,OLD,19838068,해탄적일천,2022-01-06,3533970,0.2,-3398400,-49.0,10466340,366,-393,-51.8,1125,41,50,20220107,2022-01
9,9,4,OLD,20211281,매트릭스: 리저렉션,2021-12-22,3302800,0.2,581300,21.4,2077873070,336,50,17.5,207263,47,52,20220107,2022-01
10,10,0,OLD,20210672,피드백,2022-01-05,2658200,0.2,-2309800,-46.5,15704700,311,-442,-58.7,2251,35,43,20220107,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,1335301560,37.0,737160010,123.2,65182377150,125780,69543,123.7,6482009,1403,4651,20220108,2022-01
2,2,0,OLD,20199882,경관의 피,2022-01-05,1054093050,29.2,598579660,131.4,2561002390,104110,58307,127.3,264342,1187,4644,20220108,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,787495180,21.8,472395100,149.9,1777551150,83040,48969,143.7,195596,1242,4132,20220108,2022-01
4,4,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,313722190,8.7,156037020,99.0,8931784740,29814,14882,99.7,893674,649,1348,20220108,2022-01
5,5,0,OLD,20217807,해피 뉴 이어,2021-12-29,38550520,1.1,7300680,23.4,2079435760,3743,669,21.8,222153,329,436,20220108,2022-01
6,6,0,OLD,20218415,드라이브 마이 카,2021-12-23,18924000,0.5,7418700,64.5,281837480,1839,705,62.2,30295,75,98,20220108,2022-01
7,7,2,OLD,20211281,매트릭스: 리저렉션,2021-12-22,6073770,0.2,2770970,83.9,2083946840,606,270,80.4,207869,44,50,20220108,2022-01
8,8,4,OLD,20218390,램,2021-12-29,6724400,0.2,3973500,144.4,121512740,561,297,112.5,13271,46,50,20220108,2022-01
9,9,-1,OLD,19838068,해탄적일천,2022-01-06,5852800,0.2,2318830,65.6,16319140,560,194,53.0,1685,40,50,20220108,2022-01
10,10,0,OLD,20210672,피드백,2022-01-05,4170500,0.1,1512300,56.9,19875200,392,81,26.0,2643,29,37,20220108,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,1249277740,34.8,-86023820,-6.4,66431654890,118608,-7172,-5.7,6600617,1408,4680,20220109,2022-01
2,2,0,OLD,20199882,경관의 피,2022-01-05,1112920740,31.0,58827690,5.6,3673923130,110236,6126,5.9,374578,1185,4617,20220109,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,816277360,22.7,28782180,3.7,2593828510,86760,3720,4.5,282356,1251,4111,20220109,2022-01
4,4,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,290889780,8.1,-22832410,-7.3,9222674520,27748,-2066,-6.9,921422,644,1346,20220109,2022-01
5,5,0,OLD,20217807,해피 뉴 이어,2021-12-29,38865440,1.1,314920,0.8,2118301200,3794,51,1.4,225947,341,449,20220109,2022-01
6,6,0,OLD,20218415,드라이브 마이 카,2021-12-23,16809100,0.5,-2114900,-11.2,298646580,1580,-259,-14.1,31875,76,101,20220109,2022-01
7,7,0,NEW,20192354,특송,2022-01-12,14318100,0.4,14318100,100.0,66835100,1302,1302,100.0,6286,28,28,20220109,2022-01
8,8,-1,OLD,20211281,매트릭스: 리저렉션,2021-12-22,6749840,0.2,676070,11.1,2090696680,671,65,10.7,208540,44,51,20220109,2022-01
9,9,0,OLD,19838068,해탄적일천,2022-01-06,4033800,0.1,-1819000,-31.1,20352940,401,-159,-28.4,2086,42,52,20220109,2022-01
10,10,-2,OLD,20218390,램,2021-12-29,4052100,0.1,-2672300,-39.7,125564840,383,-178,-31.7,13654,41,44,20220109,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,389512520,38.0,-859765220,-68.8,66821167410,38120,-80488,-67.9,6638737,1305,4123,20220110,2022-01
2,2,0,OLD,20199882,경관의 피,2022-01-05,290141300,28.3,-822779440,-73.9,3964064430,30287,-79949,-72.5,404865,1094,4076,20220110,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,197804360,19.3,-618473000,-75.8,2791632870,22332,-64428,-74.3,304688,1010,3091,20220110,2022-01
4,4,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,96279990,9.4,-194609790,-66.9,9318954510,9511,-18237,-65.7,930933,583,1251,20220110,2022-01
5,5,0,OLD,20217807,해피 뉴 이어,2021-12-29,14528800,1.4,-24336640,-62.6,2132830000,1501,-2293,-60.4,227448,279,366,20220110,2022-01
6,6,0,OLD,20218415,드라이브 마이 카,2021-12-23,8565800,0.8,-8243300,-49.0,307212380,1019,-561,-35.5,32894,79,98,20220110,2022-01
7,7,7,OLD,20196264,유체이탈자,2021-11-24,1500000,0.1,-10000,-0.7,7908870790,250,-1,-0.4,812701,5,5,20220110,2022-01
8,8,0,NEW,20211932,아이 스틸 빌리브,2022-01-19,2170000,0.2,2170000,100.0,3007000,217,217,100.0,310,2,2,20220110,2022-01
9,9,0,OLD,19838068,해탄적일천,2022-01-06,1857100,0.2,-2176700,-54.0,22210040,208,-193,-48.1,2294,37,46,20220110,2022-01
10,10,0,NEW,20209269,미싱타는 여자들,2022-01-20,410000,0.0,410000,100.0,11334000,201,201,100.0,1495,1,1,20220110,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,383053390,37.0,-6459130,-1.7,67204220800,37385,-735,-1.9,6676122,1316,4109,20220111,2022-01
2,2,0,OLD,20199882,경관의 피,2022-01-05,269553310,26.1,-20587990,-7.1,4233617740,28029,-2258,-7.5,432894,1096,3991,20220111,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,217398830,21.0,19594470,9.9,3009031700,24834,2502,11.2,329522,1028,3178,20220111,2022-01
4,4,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,96724370,9.3,444380,0.5,9415678880,9570,59,0.6,940503,591,1261,20220111,2022-01
5,5,0,OLD,20217807,해피 뉴 이어,2021-12-29,19055200,1.8,4526400,31.2,2151885200,2030,529,35.2,229478,310,409,20220111,2022-01
6,6,0,OLD,20218415,드라이브 마이 카,2021-12-23,9770800,0.9,1205000,14.1,316983180,1005,-14,-1.4,33899,75,97,20220111,2022-01
7,7,0,NEW,20188441,킹메이커,2022-01-26,10000000,1.0,10000000,100.0,75966500,1000,1000,100.0,8812,7,7,20220111,2022-01
8,8,5,OLD,20212264,포 언투 어스,2022-01-09,2700000,0.3,1350000,100.0,5400000,300,150,100.0,600,1,2,20220111,2022-01
9,9,10,OLD,20210672,피드백,2022-01-05,2211500,0.2,1162500,110.8,25152200,271,152,127.7,3264,24,31,20220111,2022-01
10,10,0,NEW,20200768,맛있는 여동생,2022-01-11,1315000,0.1,1315000,100.0,1315000,259,259,100.0,259,20,20,20220111,2022-01
1,1,0,NEW,20192354,특송,2022-01-12,327370790,21.9,327370790,100.0,395753890,37070,37070,100.0,43528,978,3770,20220112,2022-01
2,2,-1,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,250931050,16.8,-132122340,-34.5,67455151850,25984,-11401,-30.5,6702106,748,1957,20220112,2022-01
3,3,0,NEW,20193082,웨스트 사이드 스토리,2022-01-12,217429870,14.6,217429870,100.0,236464870,22436,22436,100.0,23705,754,1909,20220112,2022-01
4,4,-2,OLD,20199882,경관의 피,2022-01-05,175587720,11.8,-93965590,-34.9,4409205460,18186,-9843,-35.1,451080,709,2020,20220112,2022-01
5,5,-2,OLD,20218764,씽2게더,2022-01-05,146647070,9.8,-70751760,-32.5,3155678770,16941,-7893,-31.8,346463,800,1628,20220112,2022-01
6,6,25,OLD,20211177,하우스 오브 구찌,2022-01-12,154097710,10.3,153809710,53406.1,159648710,16827,16795,52484.4,17436,734,1851,20220112,2022-01
7,7,0,NEW,20211740,비욘드라이브 더 무비 : 엔시티 레조넌스,2022-01-12,63224000,4.2,63224000,100.0,63224000,4215,4215,100.0,4215,32,60,20220112,2022-01
8,8,-4,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,38102370,2.6,-58622000,-60.6,9453781250,3706,-5864,-61.3,944209,292,390,20220112,2022-01
9,9,0,NEW,20211241,클리포드 더 빅 레드 독,2022-01-12,27891270,1.9,27891270,100.0,30812270,3276,3276,100.0,3586,311,370,20220112,2022-01
10,10,0,NEW,20201965,해적: 도깨비 깃발,2022-01-26,27813000,1.9,27813000,100.0,27813000,2813,2813,100.0,2813,9,21,20220112,2022-01
1,1,0,OLD,20192354,특송,2022-01-12,268414570,21.8,-58956220,-18.0,664168460,29834,-7236,-19.5,73362,968,3625,20220113,2022-01
2,2,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,243039090,19.7,-7891960,-3.1,67698190940,25268,-716,-2.8,6727374,767,1983,20220113,2022-01
3,3,2,OLD,20218764,씽2게더,2022-01-05,159104010,12.9,12456940,8.5,3314782780,18365,1424,8.4,364828,812,1653,20220113,2022-01
4,4,0,OLD,20199882,경관의 피,2022-01-05,149880200,12.2,-25707520,-14.6,4559085660,15543,-2643,-14.5,466623,716,1975,20220113,2022-01
5,5,-2,OLD,20193082,웨스트 사이드 스토리,2022-01-12,123666360,10.0,-93763510,-43.1,360131230,12712,-9724,-43.3,36417,717,1767,20220113,2022-01
6,6,0,OLD,20211177,하우스 오브 구찌,2022-01-12,102529750,8.3,-51567960,-33.5,262178460,11025,-5802,-34.5,28461,706,1689,20220113,2022-01
7,7,1,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,40538100,3.3,2435730,6.4,9494319350,3970,264,7.1,948179,316,430,20220113,2022-01
8,8,-1,OLD,20211740,비욘드라이브 더 무비 : 엔시티 레조넌스,2022-01-12,43619500,3.5,-19604500,-31.0,106843500,2908,-1307,-31.0,7123,33,60,20220113,2022-01
9,9,0,OLD,20211241,클리포드 더 빅 레드 독,2022-01-12,22439300,1.8,-5451970,-19.5,53251570,2683,-593,-18.1,6269,305,357,20220113,2022-01
10,10,1,OLD,20211529,청춘적니,2022-01-12,11767700,1.0,-6629300,-36.0,38930700,1436,-820,-36.3,4556,110,142,20220113,2022-01
1,1,0,OLD,20192354,특송,2022-01-12,300536090,22.0,32121520,12.0,964704550,32087,2253,7.6,105449,982,3648,20220114,2022-01
2,2,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,326358460,23.9,83319370,34.3,68024549400,31737,6469,25.6,6759111,909,2289,20220114,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,187782910,13.8,28678900,18.0,3502565690,20340,1975,10.8,385168,834,1741,20220114,2022-01
4,4,0,OLD,20199882,경관의 피,2022-01-05,171571350,12.6,21691150,14.5,4730657010,16959,1416,9.1,483582,718,1975,20220114,2022-01
5,5,0,OLD,20193082,웨스트 사이드 스토리,2022-01-12,115928830,8.5,-7737530,-6.3,476060060,10896,-1816,-14.3,47313,706,1669,20220114,2022-01
6,6,0,OLD,20211177,하우스 오브 구찌,2022-01-12,97918310,7.2,-4611440,-4.5,360096770,9686,-1339,-12.1,38147,676,1542,20220114,2022-01
7,7,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,48235450,3.5,7697350,19.0,9542554800,4443,473,11.9,952622,324,446,20220114,2022-01
8,8,1,OLD,20211241,클리포드 더 빅 레드 독,2022-01-12,21916700,1.6,-522600,-2.3,75168270,2386,-297,-11.1,8655,295,348,20220114,2022-01
9,9,-1,OLD,20211740,비욘드라이브 더 무비 : 엔시티 레조넌스,2022-01-12,34770000,2.6,-8849500,-20.3,141613500,2318,-590,-20.3,9441,34,60,20220114,2022-01
10,10,0,OLD,20211529,청춘적니,2022-01-12,7027800,0.5,-4739900,-40.3,45958500,838,-598,-41.6,5394,111,144,20220114,2022-01
1,1,1,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,741433450,25.1,415074990,127.2,68765982850,71653,39916,125.8,6830764,1084,2831,20220115,2022-01
2,2,-1,OLD,20192354,특송,2022-01-12,635591660,21.5,335055570,111.5,1600296210,63540,31453,98.0,168989,996,3756,20220115,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,536569960,18.2,348787050,185.7,4039135650,56127,35787,175.9,441295,1004,2269,20220115,2022-01
4,4,0,OLD,20199882,경관의 피,2022-01-05,394796300,13.4,223224950,130.1,5125453310,38122,21163,124.8,521704,770,2040,20220115,2022-01
5,5,0,OLD,20193082,웨스트 사이드 스토리,2022-01-12,189194120,6.4,73265290,63.2,665254180,17110,6214,57.0,64423,707,1655,20220115,2022-01
6,6,0,OLD,20211177,하우스 오브 구찌,2022-01-12,172367750,5.8,74449440,76.0,532464520,16590,6904,71.3,54737,631,1422,20220115,2022-01
7,7,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,109181070,3.7,60945620,126.4,9651735870,10274,5831,131.2,962896,365,517,20220115,2022-01
8,8,0,OLD,20211241,클리포드 더 빅 레드 독,2022-01-12,52360040,1.8,30443340,138.9,127528310,5596,3210,134.5,14251,344,431,20220115,2022-01
9,9,0,OLD,20211740,비욘드라이브 더 무비 : 엔시티 레조넌스,2022-01-12,30030000,1.0,-4740000,-13.6,171643500,2002,-316,-13.6,11443,32,58,20220115,2022-01
10,10,8,OLD,20196264,유체이탈자,2021-11-24,7491000,0.3,5991000,399.4,7922361790,1448,1198,479.2,815149,6,8,20220115,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,701678630,24.7,-39754820,-5.4,69467661480,68580,-3073,-4.3,6899344,1104,2876,20220116,2022-01
2,2,0,OLD,20192354,특송,2022-01-12,648134230,22.9,12542570,2.0,2248430440,64893,1353,2.1,233882,990,3748,20220116,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,548854480,19.4,12284520,2.3,4587990130,57915,1788,3.2,499210,1004,2320,20220116,2022-01
4,4,0,OLD,20199882,경관의 피,2022-01-05,364067070,12.8,-30729230,-7.8,5489520380,35729,-2393,-6.3,557433,762,2033,20220116,2022-01
5,5,1,OLD,20211177,하우스 오브 구찌,2022-01-12,156842590,5.5,-15525160,-9.0,689307110,15245,-1345,-8.1,69982,634,1392,20220116,2022-01
6,6,-1,OLD,20193082,웨스트 사이드 스토리,2022-01-12,154372990,5.4,-34821130,-18.4,819627170,14068,-3042,-17.8,78491,692,1561,20220116,2022-01
7,7,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,100430540,3.5,-8750530,-8.0,9752166410,9394,-880,-8.6,972290,371,529,20220116,2022-01
8,8,0,OLD,20211241,클리포드 더 빅 레드 독,2022-01-12,53980700,1.9,1620660,3.1,181509010,5814,218,3.9,20065,356,444,20220116,2022-01
9,9,0,OLD,20211740,비욘드라이브 더 무비 : 엔시티 레조넌스,2022-01-12,32023000,1.1,1993000,6.6,203666500,2135,133,6.6,13578,33,60,20220116,2022-01
10,10,1,OLD,20218415,드라이브 마이 카,2021-12-23,12623100,0.4,-914250,-6.8,366135460,1237,-79,-6.0,38796,50,64,20220116,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,217177970,27.0,-484500660,-69.0,69684839450,24491,-44089,-64.3,6923835,983,2663,20220117,2022-01
2,2,0,OLD,20192354,특송,2022-01-12,173709330,21.6,-474424900,-73.2,2422139770,18280,-46613,-71.8,252162,895,3182,20220117,2022-01
3,3,0,OLD,20218764,씽2게더,2022-01-05,120233300,15.0,-428621180,-78.1,4708223430,13521,-44394,-76.7,512731,794,1679,20220117,2022-01
4,4,0,OLD,20199882,경관의 피,2022-01-05,108444330,13.5,-255622740,-70.2,5597964710,11206,-24523,-68.6,568639,667,1752,20220117,2022-01
5,5,0,OLD,20211177,하우스 오브 구찌,2022-01-12,52889260,6.6,-103953330,-66.3,742196370,5610,-9635,-63.2,75592,555,1145,20220117,2022-01
6,6,0,OLD,20193082,웨스트 사이드 스토리,2022-01-12,47294620,5.9,-107078370,-69.4,866921790,4875,-9193,-65.3,83366,587,1146,20220117,2022-01
7,7,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,31744670,3.9,-68685870,-68.4,9783911080,3159,-6235,-66.4,975449,324,453,20220117,2022-01
8,8,0,OLD,20211241,클리포드 더 빅 레드 독,2022-01-12,9400700,1.2,-44580000,-82.6,190909710,1109,-4705,-80.9,21174,230,258,20220117,2022-01
9,9,0,OLD,20211740,비욘드라이브 더 무비 : 엔시티 레조넌스,2022-01-12,14924500,1.9,-17098500,-53.4,218591000,995,-1140,-53.4,14573,30,55,20220117,2022-01
10,10,0,OLD,20218415,드라이브 마이 카,2021-12-23,5646400,0.7,-6976700,-55.3,371781860,660,-577,-46.6,39456,45,56,20220117,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,263413980,28.2,46236010,21.3,69948253430,29949,5458,22.3,6953784,1021,2769,20220118,2022-01
